"Blooket
Import Template",,,,,,,
Question #,Question Text,Answer 1,Answer 2,Answer 3 (Optional),Answer 4 (Optional),Time Limit (sec) (Max: 300 seconds),Correct Answer(s) (Only include Answer #)
1,For continuity at a the limit must equal,f(a),0,a,the derivative,45,1
2,A hole with a common two-sided limit is,jump,removable,infinite,continuous,45,2
3,Different finite one-sided limits create a,removable,horizontal asymptote,jump,continuous point,45,3
4,At a piecewise boundary you should compare,only f(a),only the right side,only slopes,both one-sided limits and f(a),45,4
5,A polynomial is continuous,for all real x,only at integers,only where positive,nowhere,45,1
6,The two-sided limit at x=1 is 2 and the function value is 2. Is the function continuous there?,No,Yes,Only from the left,Cannot tell whether the limit exists,45,2
7,The two-sided limit at x=2 is 3 and the function value is 6. Is the function continuous there?,Yes,Only from the left,No,Cannot tell whether the limit exists,45,3
8,The two-sided limit at x=3 is 4 and the function value is 4. Is the function continuous there?,No,Only from the left,Cannot tell whether the limit exists,Yes,45,4
9,The two-sided limit at x=0 is 5 and the function value is 8. Is the function continuous there?,No,Yes,Only from the left,Cannot tell whether the limit exists,45,1
10,The two-sided limit at x=1 is 6 and the function value is 6. Is the function continuous there?,No,Yes,Only from the left,Cannot tell whether the limit exists,45,2
11,The two-sided limit at x=2 is 2 and the function value is 5. Is the function continuous there?,Yes,Only from the left,No,Cannot tell whether the limit exists,45,3
12,The two-sided limit at x=3 is 3 and the function value is 3. Is the function continuous there?,No,Only from the left,Cannot tell whether the limit exists,Yes,45,4
13,The two-sided limit at x=0 is 4 and the function value is 7. Is the function continuous there?,No,Yes,Only from the left,Cannot tell whether the limit exists,45,1
14,The two-sided limit at x=1 is 5 and the function value is 5. Is the function continuous there?,No,Yes,Only from the left,Cannot tell whether the limit exists,45,2
15,The two-sided limit at x=2 is 6 and the function value is 9. Is the function continuous there?,Yes,Only from the left,No,Cannot tell whether the limit exists,45,3
16,The two-sided limit at x=3 is 2 and the function value is 2. Is the function continuous there?,No,Only from the left,Cannot tell whether the limit exists,Yes,45,4
17,The two-sided limit at x=0 is 3 and the function value is 6. Is the function continuous there?,No,Yes,Only from the left,Cannot tell whether the limit exists,45,1
18,The two-sided limit at x=1 is 4 and the function value is 4. Is the function continuous there?,No,Yes,Only from the left,Cannot tell whether the limit exists,45,2
19,The two-sided limit at x=2 is 5 and the function value is 8. Is the function continuous there?,Yes,Only from the left,No,Cannot tell whether the limit exists,45,3
20,The two-sided limit at x=3 is 6 and the function value is 6. Is the function continuous there?,No,Only from the left,Cannot tell whether the limit exists,Yes,45,4
21,,,,,,,
22,,,,,,,
23,,,,,,,
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,,,,,,,
49,,,,,,,
50,,,,,,,
51,,,,,,,
52,,,,,,,
53,,,,,,,
54,,,,,,,
55,,,,,,,
56,,,,,,,
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,,,,,,,
91,,,,,,,
92,,,,,,,
93,,,,,,,
94,,,,,,,
95,,,,,,,
96,,,,,,,
97,,,,,,,
98,,,,,,,
99,,,,,,,
100,,,,,,,
