bank_id,course_family,unit,section,destination,destination_group,destination_slot,spiral_role,dok,learning_target,i_can,framework_alignment,item_type,answer_type,figure_files,source_basis,notes
U5-S1-NOTE-EX01,MATH,5,5.1,notes_example,notes,pair_1_ex,current,2,"Apply the Mean Value Theorem and Extreme Value Theorem with appropriate hypotheses and conclusions, and identify critical points and local or global extrema.",I can verify theorem hypotheses on an interval and use critical points and endpoints to analyze local and absolute extrema.,"AP Topics 5.1, 5.2",mvt_application,constructed_response,,"Unit 5 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides used for representation and rigor only, with no published wording copied.",Notes pair 1; EX.
U5-S1-NOTE-YTI01,MATH,5,5.1,notes_you_try_it,notes,pair_1_yti,current,2,"Apply the Mean Value Theorem and Extreme Value Theorem with appropriate hypotheses and conclusions, and identify critical points and local or global extrema.",I can verify theorem hypotheses on an interval and use critical points and endpoints to analyze local and absolute extrema.,"AP Topics 5.1, 5.2",mvt_conditions,constructed_response,,"Unit 5 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides used for representation and rigor only, with no published wording copied.",Notes pair 1; YTI.
U5-S1-NOTE-EX02,MATH,5,5.1,notes_example,notes,pair_2_ex,current,2,"Apply the Mean Value Theorem and Extreme Value Theorem with appropriate hypotheses and conclusions, and identify critical points and local or global extrema.",I can verify theorem hypotheses on an interval and use critical points and endpoints to analyze local and absolute extrema.,"AP Topics 5.1, 5.2",mvt_conditions,constructed_response,,"Unit 5 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides used for representation and rigor only, with no published wording copied.",Notes pair 2; EX.
U5-S1-NOTE-YTI02,MATH,5,5.1,notes_you_try_it,notes,pair_2_yti,current,1,"Apply the Mean Value Theorem and Extreme Value Theorem with appropriate hypotheses and conclusions, and identify critical points and local or global extrema.",I can verify theorem hypotheses on an interval and use critical points and endpoints to analyze local and absolute extrema.,"AP Topics 5.1, 5.2",critical_numbers,expression,,"Unit 5 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides used for representation and rigor only, with no published wording copied.",Notes pair 2; YTI.
U5-S1-NOTE-EX03,MATH,5,5.1,notes_example,notes,pair_3_ex,current,1,"Apply the Mean Value Theorem and Extreme Value Theorem with appropriate hypotheses and conclusions, and identify critical points and local or global extrema.",I can verify theorem hypotheses on an interval and use critical points and endpoints to analyze local and absolute extrema.,"AP Topics 5.1, 5.2",critical_numbers,expression,,"Unit 5 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides used for representation and rigor only, with no published wording copied.",Notes pair 3; EX.
U5-S1-NOTE-YTI03,MATH,5,5.1,notes_you_try_it,notes,pair_3_yti,current,2,"Apply the Mean Value Theorem and Extreme Value Theorem with appropriate hypotheses and conclusions, and identify critical points and local or global extrema.",I can verify theorem hypotheses on an interval and use critical points and endpoints to analyze local and absolute extrema.,"AP Topics 5.1, 5.2",closed_interval_extrema,constructed_response,,"Unit 5 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides used for representation and rigor only, with no published wording copied.",Notes pair 3; YTI.
U5-S1-NOTE-EX04,MATH,5,5.1,notes_example,notes,pair_4_ex,current,2,"Apply the Mean Value Theorem and Extreme Value Theorem with appropriate hypotheses and conclusions, and identify critical points and local or global extrema.",I can verify theorem hypotheses on an interval and use critical points and endpoints to analyze local and absolute extrema.,"AP Topics 5.1, 5.2",closed_interval_extrema,constructed_response,,"Unit 5 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides used for representation and rigor only, with no published wording copied.",Notes pair 4; EX.
U5-S1-NOTE-YTI04,MATH,5,5.1,notes_you_try_it,notes,pair_4_yti,current,3,"Apply the Mean Value Theorem and Extreme Value Theorem with appropriate hypotheses and conclusions, and identify critical points and local or global extrema.",I can verify theorem hypotheses on an interval and use critical points and endpoints to analyze local and absolute extrema.,"AP Topics 5.1, 5.2",critical_point_claim_critique,constructed_response,,"Unit 5 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides used for representation and rigor only, with no published wording copied.",Notes pair 4; YTI.
U5-S2-NOTE-EX01,MATH,5,5.2,notes_example,notes,pair_1_ex,current,2,Use the sign of the first derivative to determine intervals of increase/decrease and classify local extrema with the first derivative test.,I can build and interpret a first-derivative sign chart and justify local extrema from derivative sign changes.,"AP Topics 5.3, 5.4",first_derivative_sign_chart,intervals,,"Unit 5 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides used for representation and rigor only, with no published wording copied.",Notes pair 1; EX.
U5-S2-NOTE-YTI01,MATH,5,5.2,notes_you_try_it,notes,pair_1_yti,current,2,Use the sign of the first derivative to determine intervals of increase/decrease and classify local extrema with the first derivative test.,I can build and interpret a first-derivative sign chart and justify local extrema from derivative sign changes.,"AP Topics 5.3, 5.4",first_derivative_test,constructed_response,,"Unit 5 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides used for representation and rigor only, with no published wording copied.",Notes pair 1; YTI.
