bank_id,course_family,unit,section,destination,destination_group,destination_slot,spiral_role,dok,learning_target,i_can,framework_alignment,item_type,answer_type,figure_files,source_basis,notes
U3-S1-NOTE-EX01,MATH,3,3.1,notes_example,notes,pair_1_ex,current,1,Differentiate composite functions by identifying outer and inner structure and applying the chain rule with accurate notation.,I can differentiate composite and nested functions by tracing outer/inner structure and multiplying by each required inner derivative.,AP Topic 3.1,chain_structure,short_response,,Assessment Plan + Course Framework; supplied AP Topic scoring guides consulted for representation/rigor only (no question wording copied).,Notes pair 1; EX.
U3-S1-NOTE-YTI01,MATH,3,3.1,notes_you_try_it,notes,pair_1_yti,current,1,Differentiate composite functions by identifying outer and inner structure and applying the chain rule with accurate notation.,I can differentiate composite and nested functions by tracing outer/inner structure and multiplying by each required inner derivative.,AP Topic 3.1,chain_structure,short_response,,Assessment Plan + Course Framework; supplied AP Topic scoring guides consulted for representation/rigor only (no question wording copied).,Notes pair 1; YTI.
U3-S1-NOTE-EX02,MATH,3,3.1,notes_example,notes,pair_2_ex,current,2,Differentiate composite functions by identifying outer and inner structure and applying the chain rule with accurate notation.,I can differentiate composite and nested functions by tracing outer/inner structure and multiplying by each required inner derivative.,AP Topic 3.1,chain_power,expression,,Assessment Plan + Course Framework; supplied AP Topic scoring guides consulted for representation/rigor only (no question wording copied).,Notes pair 2; EX.
U3-S1-NOTE-YTI02,MATH,3,3.1,notes_you_try_it,notes,pair_2_yti,current,2,Differentiate composite functions by identifying outer and inner structure and applying the chain rule with accurate notation.,I can differentiate composite and nested functions by tracing outer/inner structure and multiplying by each required inner derivative.,AP Topic 3.1,chain_power,expression,,Assessment Plan + Course Framework; supplied AP Topic scoring guides consulted for representation/rigor only (no question wording copied).,Notes pair 2; YTI.
U3-S1-NOTE-EX03,MATH,3,3.1,notes_example,notes,pair_3_ex,current,2,Differentiate composite functions by identifying outer and inner structure and applying the chain rule with accurate notation.,I can differentiate composite and nested functions by tracing outer/inner structure and multiplying by each required inner derivative.,AP Topic 3.1,chain_trig,expression,,Assessment Plan + Course Framework; supplied AP Topic scoring guides consulted for representation/rigor only (no question wording copied).,Notes pair 3; EX.
U3-S1-NOTE-YTI03,MATH,3,3.1,notes_you_try_it,notes,pair_3_yti,current,2,Differentiate composite functions by identifying outer and inner structure and applying the chain rule with accurate notation.,I can differentiate composite and nested functions by tracing outer/inner structure and multiplying by each required inner derivative.,AP Topic 3.1,chain_trig,expression,,Assessment Plan + Course Framework; supplied AP Topic scoring guides consulted for representation/rigor only (no question wording copied).,Notes pair 3; YTI.
U3-S1-NOTE-EX04,MATH,3,3.1,notes_example,notes,pair_4_ex,current,2,Differentiate composite functions by identifying outer and inner structure and applying the chain rule with accurate notation.,I can differentiate composite and nested functions by tracing outer/inner structure and multiplying by each required inner derivative.,AP Topic 3.1,chain_core,expression,,Assessment Plan + Course Framework; supplied AP Topic scoring guides consulted for representation/rigor only (no question wording copied).,Notes pair 4; EX.
U3-S1-NOTE-YTI04,MATH,3,3.1,notes_you_try_it,notes,pair_4_yti,current,2,Differentiate composite functions by identifying outer and inner structure and applying the chain rule with accurate notation.,I can differentiate composite and nested functions by tracing outer/inner structure and multiplying by each required inner derivative.,AP Topic 3.1,chain_core,expression,,Assessment Plan + Course Framework; supplied AP Topic scoring guides consulted for representation/rigor only (no question wording copied).,Notes pair 4; YTI.
U3-S2-NOTE-EX01,MATH,3,3.2,notes_example,notes,pair_1_ex,current,2,"Select and combine product, quotient, chain, and core derivative rules in mixed expressions and use higher-order derivative notation.",I can choose an efficient sequence of derivative rules for nested products or quotients and use first- and higher-order derivative notation precisely.,"AP Topics 3.5, 3.6",mixed_rule,expression,,Assessment Plan + Course Framework; supplied AP Topic scoring guides consulted for representation/rigor only (no question wording copied).,Notes pair 1; EX.
U3-S2-NOTE-YTI01,MATH,3,3.2,notes_you_try_it,notes,pair_1_yti,current,2,"Select and combine product, quotient, chain, and core derivative rules in mixed expressions and use higher-order derivative notation.",I can choose an efficient sequence of derivative rules for nested products or quotients and use first- and higher-order derivative notation precisely.,"AP Topics 3.5, 3.6",mixed_rule,expression,,Assessment Plan + Course Framework; supplied AP Topic scoring guides consulted for representation/rigor only (no question wording copied).,Notes pair 1; YTI.
