bank_id,course_family,unit,section,destination,destination_group,destination_slot,spiral_role,dok,learning_target,i_can,framework_alignment,item_type,answer_type,figure_files,source_basis,notes
U6-S1-NOTE-EX01,MATH,6,6.1,notes_example,notes,pair_1_ex,current,2,"Interpret accumulation of change from rate graphs using signed area, units, and properties of definite integrals.","I can interpret signed area as net change, estimate accumulation from geometric regions, and keep the units of an accumulated rate meaningful.","AP Topics 6.1, 6.6",signed_accumulation_graph,numeric,u6_s1_note_ex01_rate_graph.png,"Unit 6 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",Notes pair 1; EX.
U6-S1-NOTE-YTI01,MATH,6,6.1,notes_you_try_it,notes,pair_1_yti,current,1,"Interpret accumulation of change from rate graphs using signed area, units, and properties of definite integrals.","I can interpret signed area as net change, estimate accumulation from geometric regions, and keep the units of an accumulated rate meaningful.","AP Topics 6.1, 6.6",integral_properties,numeric,,"Unit 6 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",Notes pair 1; YTI.
U6-S1-NOTE-EX02,MATH,6,6.1,notes_example,notes,pair_2_ex,current,1,"Interpret accumulation of change from rate graphs using signed area, units, and properties of definite integrals.","I can interpret signed area as net change, estimate accumulation from geometric regions, and keep the units of an accumulated rate meaningful.","AP Topics 6.1, 6.6",integral_properties,numeric,,"Unit 6 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",Notes pair 2; EX.
U6-S1-NOTE-YTI02,MATH,6,6.1,notes_you_try_it,notes,pair_2_yti,current,1,"Interpret accumulation of change from rate graphs using signed area, units, and properties of definite integrals.","I can interpret signed area as net change, estimate accumulation from geometric regions, and keep the units of an accumulated rate meaningful.","AP Topics 6.1, 6.6",signed_geometric_area,numeric,,"Unit 6 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",Notes pair 2; YTI.
U6-S1-NOTE-EX03,MATH,6,6.1,notes_example,notes,pair_3_ex,current,1,"Interpret accumulation of change from rate graphs using signed area, units, and properties of definite integrals.","I can interpret signed area as net change, estimate accumulation from geometric regions, and keep the units of an accumulated rate meaningful.","AP Topics 6.1, 6.6",signed_geometric_area,numeric,,"Unit 6 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",Notes pair 3; EX.
U6-S1-NOTE-YTI03,MATH,6,6.1,notes_you_try_it,notes,pair_3_yti,current,2,"Interpret accumulation of change from rate graphs using signed area, units, and properties of definite integrals.","I can interpret signed area as net change, estimate accumulation from geometric regions, and keep the units of an accumulated rate meaningful.","AP Topics 6.1, 6.6",initial_value_plus_accumulation,numeric,,"Unit 6 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",Notes pair 3; YTI.
U6-S1-NOTE-EX04,MATH,6,6.1,notes_example,notes,pair_4_ex,current,2,"Interpret accumulation of change from rate graphs using signed area, units, and properties of definite integrals.","I can interpret signed area as net change, estimate accumulation from geometric regions, and keep the units of an accumulated rate meaningful.","AP Topics 6.1, 6.6",initial_value_plus_accumulation,numeric,,"Unit 6 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",Notes pair 4; EX.
U6-S1-NOTE-YTI04,MATH,6,6.1,notes_you_try_it,notes,pair_4_yti,current,1,"Interpret accumulation of change from rate graphs using signed area, units, and properties of definite integrals.","I can interpret signed area as net change, estimate accumulation from geometric regions, and keep the units of an accumulated rate meaningful.","AP Topics 6.1, 6.6",integral_units,text,,"Unit 6 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",Notes pair 4; YTI.
U6-S2-NOTE-EX01,MATH,6,6.2,notes_example,notes,pair_1_ex,current,2,"Approximate definite integrals with left, right, midpoint, and trapezoid sums on uniform or nonuniform partitions and interpret over/under estimates.","I can construct named numerical sums from tables or graphs, handle nonuniform widths, and compare approximation methods using function behavior.","AP Topics 6.2, 6.3",riemann_table,numeric,,"Unit 6 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",Notes pair 1; EX.
U6-S2-NOTE-YTI01,MATH,6,6.2,notes_you_try_it,notes,pair_1_yti,current,2,"Approximate definite integrals with left, right, midpoint, and trapezoid sums on uniform or nonuniform partitions and interpret over/under estimates.","I can construct named numerical sums from tables or graphs, handle nonuniform widths, and compare approximation methods using function behavior.","AP Topics 6.2, 6.3",trapezoid_nonuniform,numeric,,"Unit 6 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",Notes pair 1; YTI.
U6-S2-NOTE-EX02,MATH,6,6.2,notes_example,notes,pair_2_ex,current,2,"Approximate definite integrals with left, right, midpoint, and trapezoid sums on uniform or nonuniform partitions and interpret over/under estimates.","I can construct named numerical sums from tables or graphs, handle nonuniform widths, and compare approximation methods using function behavior.","AP Topics 6.2, 6.3",trapezoid_nonuniform,numeric,,"Unit 6 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",Notes pair 2; EX.
U6-S2-NOTE-YTI02,MATH,6,6.2,notes_you_try_it,notes,pair_2_yti,current,2,"Approximate definite integrals with left, right, midpoint, and trapezoid sums on uniform or nonuniform partitions and interpret over/under estimates.","I can construct named numerical sums from tables or graphs, handle nonuniform widths, and compare approximation methods using function behavior.","AP Topics 6.2, 6.3",midpoint_sum,numeric,,"Unit 6 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",Notes pair 2; YTI.
U6-S2-NOTE-EX03,MATH,6,6.2,notes_example,notes,pair_3_ex,current,2,"Approximate definite integrals with left, right, midpoint, and trapezoid sums on uniform or nonuniform partitions and interpret over/under estimates.","I can construct named numerical sums from tables or graphs, handle nonuniform widths, and compare approximation methods using function behavior.","AP Topics 6.2, 6.3",midpoint_sum,numeric,,"Unit 6 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",Notes pair 3; EX.
U6-S2-NOTE-YTI03,MATH,6,6.2,notes_you_try_it,notes,pair_3_yti,current,2,"Approximate definite integrals with left, right, midpoint, and trapezoid sums on uniform or nonuniform partitions and interpret over/under estimates.","I can construct named numerical sums from tables or graphs, handle nonuniform widths, and compare approximation methods using function behavior.","AP Topics 6.2, 6.3",riemann_limit_to_integral,expression,,"Unit 6 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",Notes pair 3; YTI.
U6-S2-NOTE-EX04,MATH,6,6.2,notes_example,notes,pair_4_ex,current,2,"Approximate definite integrals with left, right, midpoint, and trapezoid sums on uniform or nonuniform partitions and interpret over/under estimates.","I can construct named numerical sums from tables or graphs, handle nonuniform widths, and compare approximation methods using function behavior.","AP Topics 6.2, 6.3",riemann_limit_to_integral,expression,,"Unit 6 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",Notes pair 4; EX.
