bank_id,course_family,unit,section,destination,destination_group,destination_slot,spiral_role,dok,learning_target,i_can,framework_alignment,item_type,answer_type,figure_files,source_basis,notes
U4-S1-NOTE-EX01,MATH,4,4.1,notes_example,notes,pair_1_ex,current,1,"Interpret $f$, $f'$, and $f''$ in context using appropriate units, rates, and verbal meaning.","I can interpret $f$, $f'$, and $f''$ in context, attach correct units, and distinguish a quantity from its first and second rates of change.","AP Topics 4.1, 4.3",context_function_value,interpretation,,Unit 4 Assessment Plan + Course Framework; supplied AP Topic scoring guides consulted for authentic representation/rigor only (no question wording copied).,Notes pair 1; EX.
U4-S1-NOTE-YTI01,MATH,4,4.1,notes_you_try_it,notes,pair_1_yti,current,1,"Interpret $f$, $f'$, and $f''$ in context using appropriate units, rates, and verbal meaning.","I can interpret $f$, $f'$, and $f''$ in context, attach correct units, and distinguish a quantity from its first and second rates of change.","AP Topics 4.1, 4.3",context_function_value,interpretation,,Unit 4 Assessment Plan + Course Framework; supplied AP Topic scoring guides consulted for authentic representation/rigor only (no question wording copied).,Notes pair 1; YTI.
U4-S1-NOTE-EX02,MATH,4,4.1,notes_example,notes,pair_2_ex,current,1,"Interpret $f$, $f'$, and $f''$ in context using appropriate units, rates, and verbal meaning.","I can interpret $f$, $f'$, and $f''$ in context, attach correct units, and distinguish a quantity from its first and second rates of change.","AP Topics 4.1, 4.3",context_first_derivative,interpretation,,Unit 4 Assessment Plan + Course Framework; supplied AP Topic scoring guides consulted for authentic representation/rigor only (no question wording copied).,Notes pair 2; EX.
U4-S1-NOTE-YTI02,MATH,4,4.1,notes_you_try_it,notes,pair_2_yti,current,1,"Interpret $f$, $f'$, and $f''$ in context using appropriate units, rates, and verbal meaning.","I can interpret $f$, $f'$, and $f''$ in context, attach correct units, and distinguish a quantity from its first and second rates of change.","AP Topics 4.1, 4.3",context_first_derivative,interpretation,,Unit 4 Assessment Plan + Course Framework; supplied AP Topic scoring guides consulted for authentic representation/rigor only (no question wording copied).,Notes pair 2; YTI.
U4-S1-NOTE-EX03,MATH,4,4.1,notes_example,notes,pair_3_ex,current,2,"Interpret $f$, $f'$, and $f''$ in context using appropriate units, rates, and verbal meaning.","I can interpret $f$, $f'$, and $f''$ in context, attach correct units, and distinguish a quantity from its first and second rates of change.","AP Topics 4.1, 4.3",context_second_derivative,interpretation,,Unit 4 Assessment Plan + Course Framework; supplied AP Topic scoring guides consulted for authentic representation/rigor only (no question wording copied).,Notes pair 3; EX.
U4-S1-NOTE-YTI03,MATH,4,4.1,notes_you_try_it,notes,pair_3_yti,current,2,"Interpret $f$, $f'$, and $f''$ in context using appropriate units, rates, and verbal meaning.","I can interpret $f$, $f'$, and $f''$ in context, attach correct units, and distinguish a quantity from its first and second rates of change.","AP Topics 4.1, 4.3",context_second_derivative,interpretation,,Unit 4 Assessment Plan + Course Framework; supplied AP Topic scoring guides consulted for authentic representation/rigor only (no question wording copied).,Notes pair 3; YTI.
U4-S1-NOTE-EX04,MATH,4,4.1,notes_example,notes,pair_4_ex,current,2,"Interpret $f$, $f'$, and $f''$ in context using appropriate units, rates, and verbal meaning.","I can interpret $f$, $f'$, and $f''$ in context, attach correct units, and distinguish a quantity from its first and second rates of change.","AP Topics 4.1, 4.3",context_compare_orders,constructed_response,,Unit 4 Assessment Plan + Course Framework; supplied AP Topic scoring guides consulted for authentic representation/rigor only (no question wording copied).,Notes pair 4; EX.
U4-S1-NOTE-YTI04,MATH,4,4.1,notes_you_try_it,notes,pair_4_yti,current,2,"Interpret $f$, $f'$, and $f''$ in context using appropriate units, rates, and verbal meaning.","I can interpret $f$, $f'$, and $f''$ in context, attach correct units, and distinguish a quantity from its first and second rates of change.","AP Topics 4.1, 4.3",context_compare_orders,constructed_response,,Unit 4 Assessment Plan + Course Framework; supplied AP Topic scoring guides consulted for authentic representation/rigor only (no question wording copied).,Notes pair 4; YTI.
U4-S2-NOTE-EX01,MATH,4,4.2,notes_example,notes,pair_1_ex,current,2,"Analyze position, velocity, acceleration, speed, and sign relationships from equations, graphs, tables, and calculator-supported representations.","I can connect position, velocity, acceleration, speed, direction, and speeding-up/slowing-down behavior using derivative values and signs.",AP Topic 4.2,motion_velocity,numeric,,Unit 4 Assessment Plan + Course Framework; supplied AP Topic scoring guides consulted for authentic representation/rigor only (no question wording copied).,Notes pair 1; EX.
U4-S2-NOTE-YTI01,MATH,4,4.2,notes_you_try_it,notes,pair_1_yti,current,2,"Analyze position, velocity, acceleration, speed, and sign relationships from equations, graphs, tables, and calculator-supported representations.","I can connect position, velocity, acceleration, speed, direction, and speeding-up/slowing-down behavior using derivative values and signs.",AP Topic 4.2,motion_velocity,numeric,,Unit 4 Assessment Plan + Course Framework; supplied AP Topic scoring guides consulted for authentic representation/rigor only (no question wording copied).,Notes pair 1; YTI.
U4-S2-NOTE-EX02,MATH,4,4.2,notes_example,notes,pair_2_ex,current,2,"Analyze position, velocity, acceleration, speed, and sign relationships from equations, graphs, tables, and calculator-supported representations.","I can connect position, velocity, acceleration, speed, direction, and speeding-up/slowing-down behavior using derivative values and signs.",AP Topic 4.2,motion_acceleration,numeric,,Unit 4 Assessment Plan + Course Framework; supplied AP Topic scoring guides consulted for authentic representation/rigor only (no question wording copied).,Notes pair 2; EX.
U4-S2-NOTE-YTI02,MATH,4,4.2,notes_you_try_it,notes,pair_2_yti,current,2,"Analyze position, velocity, acceleration, speed, and sign relationships from equations, graphs, tables, and calculator-supported representations.","I can connect position, velocity, acceleration, speed, direction, and speeding-up/slowing-down behavior using derivative values and signs.",AP Topic 4.2,motion_acceleration,numeric,,Unit 4 Assessment Plan + Course Framework; supplied AP Topic scoring guides consulted for authentic representation/rigor only (no question wording copied).,Notes pair 2; YTI.
U4-S2-NOTE-EX03,MATH,4,4.2,notes_example,notes,pair_3_ex,current,1,"Analyze position, velocity, acceleration, speed, and sign relationships from equations, graphs, tables, and calculator-supported representations.","I can connect position, velocity, acceleration, speed, direction, and speeding-up/slowing-down behavior using derivative values and signs.",AP Topic 4.2,motion_speed_direction,short_response,,Unit 4 Assessment Plan + Course Framework; supplied AP Topic scoring guides consulted for authentic representation/rigor only (no question wording copied).,Notes pair 3; EX.
U4-S2-NOTE-YTI03,MATH,4,4.2,notes_you_try_it,notes,pair_3_yti,current,1,"Analyze position, velocity, acceleration, speed, and sign relationships from equations, graphs, tables, and calculator-supported representations.","I can connect position, velocity, acceleration, speed, direction, and speeding-up/slowing-down behavior using derivative values and signs.",AP Topic 4.2,motion_speed_direction,short_response,,Unit 4 Assessment Plan + Course Framework; supplied AP Topic scoring guides consulted for authentic representation/rigor only (no question wording copied).,Notes pair 3; YTI.
U4-S2-NOTE-EX04,MATH,4,4.2,notes_example,notes,pair_4_ex,current,2,"Analyze position, velocity, acceleration, speed, and sign relationships from equations, graphs, tables, and calculator-supported representations.","I can connect position, velocity, acceleration, speed, direction, and speeding-up/slowing-down behavior using derivative values and signs.",AP Topic 4.2,motion_sign_analysis,interpretation,,Unit 4 Assessment Plan + Course Framework; supplied AP Topic scoring guides consulted for authentic representation/rigor only (no question wording copied).,Notes pair 4; EX.
U4-S2-NOTE-YTI04,MATH,4,4.2,notes_you_try_it,notes,pair_4_yti,current,2,"Analyze position, velocity, acceleration, speed, and sign relationships from equations, graphs, tables, and calculator-supported representations.","I can connect position, velocity, acceleration, speed, direction, and speeding-up/slowing-down behavior using derivative values and signs.",AP Topic 4.2,motion_sign_analysis,interpretation,,Unit 4 Assessment Plan + Course Framework; supplied AP Topic scoring guides consulted for authentic representation/rigor only (no question wording copied).,Notes pair 4; YTI.
